y1,h1,y2,h2,snr_db,b1,b2
4.753184094748446054e-01,-7.405815826638187938e-01,-1.630756113826146159e+00,9.787564093890431804e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.022433404365011622e-01,1.770788596097089274e-01,-1.459170014036494656e-01,-3.161677095552427597e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.090196334305964188e+00,-1.355899057809114128e+00,-2.085848609043730248e-02,2.526158800951995922e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.665709798160118493e-02,-2.239961591318739564e-01,-1.252816694745631620e+00,1.082041549073216036e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.696547114330428707e+00,1.090337356568507277e+00,-5.789675160354016414e-01,1.098072877703431649e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.038078910922791032e+00,7.504633970324826875e-02,9.248952938883939767e-01,-9.023545669986900997e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.298386460592840908e-01,1.984583503613158717e-01,-4.861490399800799667e-01,-2.313758889947864217e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.081564251924002740e-01,-4.040136163389978496e-01,-1.581927506055724075e+00,-1.801969159991779312e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-8.307731439775702942e-01,8.748326337728870583e-02,-1.298738092117089238e+00,1.632893451709970245e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.690377000235454563e+00,-1.795063153780952936e+00,3.788068450128019293e-01,1.789973635609381775e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.384805512049561926e-01,-1.648327499251191597e+00,1.517043004903548598e+00,-3.547986128132267769e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.252081599163245018e+00,3.952258127381371722e-01,-3.626457198231197721e-01,-1.304139947973018687e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.607256850377922763e+00,-1.782601474332550451e+00,-1.382393322529530399e-01,7.600309459150766944e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.433976630621880410e-02,1.290586635879779731e+00,-6.914248942353945493e-01,-3.365083503838823820e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-5.986769703379591911e-01,8.313886605290400356e-01,2.524829564300529183e-01,2.552773374922445715e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
